reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
12,50,52,0,19,19,63,42.939154875000895,43.921957792001194,43.921957792001194,43.9291255420012,l,0.7643762909992802,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
30,77,57,0,20,20,24,44.70585375000155,45.68867466700067,45.68867466700067,45.69527633400139,l,0.8888327499989828,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
31,76,52,0,21,21,71,46.59369808400152,47.58055329200033,47.58055329200033,47.588738166999974,l,2.1390131669995753,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
28,50,94,0,22,22,39,49.73900941700049,50.72215145900009,50.72215145900009,50.72886479200133,t,2.109542791999047,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
44,55,65,0,23,23,91,52.855954000000565,53.83900466700106,53.83900466700106,53.84574683400024,l,0.9670156669999415,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
23,81,80,0,24,24,16,54.822769500000504,55.805802959001085,55.805802959001085,55.812402625000686,t,0.89316379200136,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
21,45,79,0,25,25,34,56.72294358399995,57.69836091700017,57.69836091700017,57.71277808400009,t,1.6991518330014515,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
38,40,59,0,26,26,31,59.422997375000705,60.40584512500027,60.40584512500027,60.412492792000194,l,0.9033347080003296,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
14,45,96,0,27,27,14,61.3292458750002,62.315167792001375,62.315167792001375,62.32204387500133,t,0.8471622920005757,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
26,38,25,0,28,28,44,63.17904529200132,64.16473462500107,64.16473462500107,64.17188520900163,l,0.6292443330003152,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
47,74,27,0,29,29,65,64.81193404199985,65.79852954200032,65.79852954200032,65.8053608750015,l,0.4131692920000205,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
13,88,47,0,30,30,38,66.22903875000156,67.20613625000078,67.20613625000078,67.22287170900017,l,0.9153207500003191,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
47,66,52,0,31,31,43,68.13969866700063,69.1229874590008,69.1229874590008,69.12971041700075,t,0.8403698749989417,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
19,86,45,0,32,32,72,69.98036366700035,70.96523412500028,70.96523412500028,70.97240462500122,l,0.5435558329991181,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
43,61,41,0,33,33,8,71.5282918339999,72.50637283400101,72.50637283400101,72.52307975000076,l,0.6359929999998712,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
21,53,54,0,34,34,78,73.16283491700051,74.13978920900081,74.13978920900081,74.15640916700067,l,0.5317535419999331,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
26,34,47,0,35,35,56,74.69010470900139,75.66509141700044,75.66509141700044,75.67949737500021,l,0.4370169999983773,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
18,31,68,0,36,36,55,76.12316054200164,77.10656762500003,77.10656762500003,77.11405504200047,l,0.4132239999999001,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
11,51,87,0,37,37,28,77.5403687500002,78.51555691700014,78.51555691700014,78.5300895420005,l,0.4418535420008993,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
13,59,10,0,38,38,7,78.97455908400116,79.9566662090001,79.9566662090001,79.97336779200123,l,0.7280089169998973,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
49,63,63,0,39,39,27,80.70691208400058,81.68213133400059,81.68213133400059,81.69656779200159,l,0.6348407909990783,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
48,52,50,0,40,40,87,82.34011754200037,83.31545129200094,83.31545129200094,83.32892433400048,l,0.46196308299840894,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
48,70,42,0,41,41,93,83.79562116700072,84.7822932500003,84.7822932500003,84.79030570900068,t,0.5083583750001708,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
67,75,119,0,42,42,5,85.30751712500023,86.29027437500008,86.29027437500008,86.29697670899986,l,0.4974149589997978,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
40,55,62,0,43,43,3,86.80706754200037,87.79004316700048,87.79004316700048,87.79673804200138,l,1.1167142079993937,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
11,53,56,0,44,44,88,88.92407504200128,89.90702912500092,89.90702912500092,89.91370000000097,t,0.6020918750000419,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
31,49,83,0,45,45,61,90.52924141699987,91.5170503340014,91.5170503340014,91.52375066700006,t,0.48691295799835643,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
45,52,30,0,46,46,23,92.02417475000038,93.00720208400162,93.00720208400162,93.01399658400078,l,0.45519941599923186,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
20,40,37,0,47,47,32,93.4805457500006,94.46594658400136,94.46594658400136,94.47395833400151,l,0.4648827919991163,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
78,80,162,0,48,48,6,94.94667870900048,95.93228837500101,95.93228837500101,95.94056137500047,t,0.5366403339994577,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
43,87,70,0,49,49,30,96.48877304200141,97.46610525000142,97.46610525000142,97.48012420900159,l,0.38283291600055236,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
39,88,37,0,50,50,13,97.87022933400112,98.85005625000122,98.85005625000122,98.86451195900008,l,0.38296770800116064,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
29,58,78,0,51,51,46,99.25809820900031,100.24079216700011,100.24079216700011,100.2475549589999,l,0.708254291999765,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
15,73,94,0,52,52,36,100.97474066700124,101.95761050000146,101.95761050000146,101.96444220900048,t,0.5623651669993706,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
