23.6031 	EXP 	text: text = 'GBP 44 today or GBP 55 after 65 days'
23.6031 	EXP 	Fixation: autoDraw = True
24.5813 	EXP 	text: autoDraw = True
24.5979 	EXP 	Fixation: autoDraw = False
24.9226 	EXP 	New trial (rep=0, index=10): {'reward_today': 10, 'future_reward': 55, 'delay': 53}
24.9327 	DATA 	Keypress: t
24.9377 	EXP 	Fixation: autoDraw = False
24.9377 	EXP 	text: autoDraw = False
24.9377 	EXP 	text: height = 0.05
24.9377 	EXP 	text: height = 0.05
24.9377 	EXP 	text: height = 0.05
24.9377 	EXP 	text: text = 'GBP 10 today or GBP 55 after 53 days'
24.9377 	EXP 	Fixation: autoDraw = True
25.9239 	EXP 	text: autoDraw = True
25.9307 	EXP 	Fixation: autoDraw = False
26.1996 	EXP 	New trial (rep=0, index=11): {'reward_today': 21, 'future_reward': 74, 'delay': 80}
26.2097 	DATA 	Keypress: t
26.2149 	EXP 	Fixation: autoDraw = False
26.2149 	EXP 	text: autoDraw = False
26.2149 	EXP 	text: height = 0.05
26.2149 	EXP 	text: height = 0.05
26.2149 	EXP 	text: height = 0.05
26.2149 	EXP 	text: text = 'GBP 21 today or GBP 74 after 80 days'
26.2149 	EXP 	Fixation: autoDraw = True
27.1980 	EXP 	text: autoDraw = True
27.2048 	EXP 	Fixation: autoDraw = False
27.4498 	EXP 	New trial (rep=0, index=12): {'reward_today': 20, 'future_reward': 40, 'delay': 37}
27.4596 	DATA 	Keypress: l
27.4648 	EXP 	Fixation: autoDraw = False
27.4648 	EXP 	text: autoDraw = False
27.4648 	EXP 	text: height = 0.05
27.4648 	EXP 	text: height = 0.05
27.4648 	EXP 	text: height = 0.05
27.4648 	EXP 	text: text = 'GBP 20 today or GBP 40 after 37 days'
27.4648 	EXP 	Fixation: autoDraw = True
28.4481 	EXP 	text: autoDraw = True
28.4547 	EXP 	Fixation: autoDraw = False
28.6237 	EXP 	New trial (rep=0, index=13): {'reward_today': 45, 'future_reward': 79, 'delay': 50}
28.6338 	DATA 	Keypress: l
28.6385 	EXP 	Fixation: autoDraw = False
28.6385 	EXP 	text: autoDraw = False
28.6385 	EXP 	text: height = 0.05
28.6385 	EXP 	text: height = 0.05
28.6385 	EXP 	text: height = 0.05
28.6385 	EXP 	text: text = 'GBP 45 today or GBP 79 after 50 days'
28.6385 	EXP 	Fixation: autoDraw = True
29.6240 	EXP 	text: autoDraw = True
29.6292 	DATA 	Keypress: t
29.6348 	EXP 	Fixation: autoDraw = False
30.1671 	EXP 	New trial (rep=0, index=14): {'reward_today': 35, 'future_reward': 37, 'delay': 86}
30.1758 	DATA 	Keypress: t
30.1810 	EXP 	Fixation: autoDraw = False
30.1810 	EXP 	text: autoDraw = False
30.1810 	EXP 	text: height = 0.05
30.1810 	EXP 	text: height = 0.05
30.1810 	EXP 	text: height = 0.05
30.1810 	EXP 	text: text = 'GBP 35 today or GBP 37 after 86 days'
30.1810 	EXP 	Fixation: autoDraw = True
31.1649 	EXP 	text: autoDraw = True
31.1716 	EXP 	Fixation: autoDraw = False
31.5004 	EXP 	New trial (rep=0, index=15): {'reward_today': 29, 'future_reward': 33, 'delay': 44}
31.5093 	DATA 	Keypress: t
31.5145 	EXP 	Fixation: autoDraw = False
31.5145 	EXP 	text: autoDraw = False
31.5145 	EXP 	text: height = 0.05
31.5145 	EXP 	text: height = 0.05
31.5145 	EXP 	text: height = 0.05
31.5145 	EXP 	text: text = 'GBP 29 today or GBP 33 after 44 days'
31.5145 	EXP 	Fixation: autoDraw = True
32.4982 	EXP 	text: autoDraw = True
32.5050 	EXP 	Fixation: autoDraw = False
32.5730 	EXP 	New trial (rep=0, index=16): {'reward_today': 47, 'future_reward': 83, 'delay': 51}
32.5830 	DATA 	Keypress: l
32.5879 	EXP 	Fixation: autoDraw = False
32.5879 	EXP 	text: autoDraw = False
32.5879 	EXP 	text: height = 0.05
32.5879 	EXP 	text: height = 0.05
32.5879 	EXP 	text: height = 0.05
32.5879 	EXP 	text: text = 'GBP 47 today or GBP 83 after 51 days'
32.5879 	EXP 	Fixation: autoDraw = True
33.5533 	DATA 	Keypress: l
33.5675 	EXP 	text: autoDraw = True
33.5887 	EXP 	Fixation: autoDraw = False
34.1735 	EXP 	New trial (rep=0, index=17): {'reward_today': 21, 'future_reward': 53, 'delay': 54}
34.1825 	DATA 	Keypress: l
34.1869 	EXP 	Fixation: autoDraw = False
34.1869 	EXP 	text: autoDraw = False
34.1869 	EXP 	text: height = 0.05
34.1869 	EXP 	text: height = 0.05
34.1869 	EXP 	text: height = 0.05
34.1869 	EXP 	text: text = 'GBP 21 today or GBP 53 after 54 days'
34.1869 	EXP 	Fixation: autoDraw = True
35.1744 	EXP 	text: autoDraw = True
35.1812 	EXP 	Fixation: autoDraw = False
35.4666 	EXP 	New trial (rep=0, index=18): {'reward_today': 41, 'future_reward': 50, 'delay': 76}
35.4756 	DATA 	Keypress: l
35.4809 	EXP 	Fixation: autoDraw = False
35.4809 	EXP 	text: autoDraw = False
35.4809 	EXP 	text: height = 0.05
35.4809 	EXP 	text: height = 0.05
35.4809 	EXP 	text: height = 0.05
35.4809 	EXP 	text: text = 'GBP 41 today or GBP 50 after 76 days'
35.4809 	EXP 	Fixation: autoDraw = True
36.4652 	EXP 	text: autoDraw = True
36.4726 	EXP 	Fixation: autoDraw = False
36.6408 	EXP 	New trial (rep=0, index=19): {'reward_today': 48, 'future_reward': 62, 'delay': 12}
36.6509 	DATA 	Keypress: l
36.6555 	EXP 	Fixation: autoDraw = False
36.6555 	EXP 	text: autoDraw = False
36.6555 	EXP 	text: height = 0.05
36.6555 	EXP 	text: height = 0.05
36.6555 	EXP 	text: height = 0.05
36.6555 	EXP 	text: text = 'GBP 48 today or GBP 62 after 12 days'
36.6555 	EXP 	Fixation: autoDraw = True
37.6404 	EXP 	text: autoDraw = True
37.6484 	EXP 	Fixation: autoDraw = False
37.7836 	EXP 	New trial (rep=0, index=20): {'reward_today': 23, 'future_reward': 81, 'delay': 80}
37.7936 	DATA 	Keypress: t
37.7988 	EXP 	Fixation: autoDraw = False
37.7988 	EXP 	text: autoDraw = False
37.7988 	EXP 	text: height = 0.05
37.7988 	EXP 	text: height = 0.05
37.7988 	EXP 	text: height = 0.05
37.7988 	EXP 	text: text = 'GBP 23 today or GBP 81 after 80 days'
37.7988 	EXP 	Fixation: autoDraw = True
